question,emoji,difficulty
"What's your favorite snack?",🍿🍪,False
"What's the best candy?",🍬🍭,False
"What’s your beverage of choice?",🍹☕️,False
"What book are you currently reading?",📖📚,False
"What’s your favorite way to spend a weekend?",🌳🛌🎉,False
"Do you have any hidden talents or hobbies?",🎨🎻🤹,False
"What’s your go-to karaoke song?",🎤🎶,False
"If you could travel anywhere in the world, where would it be?",✈️🌍🗺,False
"What’s a skill you’ve always wanted to learn?",🎓🛠🎻,False
"Who has been the most influential person in your life?",👤❤️,True
"If you had a time machine, would you go to the past or the future? Why?",⏰🔙🔜,True
"What's the most recent movie or show you watched and loved?",🎬🍿📺,False
"What’s your favorite childhood memory?",🧸🌳,True
"If you could have dinner with any historical figure, who would it be?",🍴🌌🕰,False
"Which season do you prefer – Spring, Summer, Fall, or Winter?",🍂☀️❄️🌸,False
"If you could be any animal for a day, which would you choose?",🐾🦁🐬,False
"What type of music do you listen to the most?",🎵🎧🎷,False
"Have you ever tried a food and vowed never to eat it again?",🤢🍔🍣,False
"What's a place you've always wanted to visit but haven't yet?",🌍🗺✈️,False
"What’s your favorite type of dance?",💃🕺🎶,False
"If you could have a superpower, what would it be?",💥🦸⚡️,False
"Do you prefer sunrise or sunset? Why?",🌅🌄,True
"What’s the best piece of advice you’ve ever received?",💡📜,True
"If you had to describe yourself in three words, what would they be?",🏷️🌟📝,True
"What's something that always makes you laugh?",😂🤣,False
"What hobby or activity did you pick up during the last year?",🪀🚴🎨,False
"What’s your favorite type of workout or sport to play?",🏋️‍♀️⚽️🏊,False
"If you could be a character in any film or TV show, who would you be?",🎭📺🦸,False
"What’s the most adventurous thing you've ever done?",🏞️🚀🌌,True
"If you could instantly master any skill or language, what would it be?",🗣️🎨🛠,False
"What’s something on your bucket list that you hope to accomplish in the next year?",📝🌍🎉,True
"Do you believe in aliens or life on other planets?",👽🌌🔭,False
"What's the most recent compliment you received and how did it make you feel?",😊💌🌟,True
"What was the last concert or musical event you attended?",🎶🎤🎸,False
"Is there a place you've visited that felt like love at first sight?",💘🌅🌍,True
"What's a childhood game or toy you miss playing with?",🎲🧸🕹,False
"Which fictional world or universe would you most like to live in?",🪐🚀📖,True
"Do you have a favorite podcast or YouTube channel?",🎧📺📡,False
"What's a dish you can cook to perfection?",🍳🥘🍲,False
"Have you ever had a supernatural experience?",👻🌌🔮,True
"Which three items would you take to a deserted island?",🏝️🎒🔪,True
"What's a trend you just can't get behind?",🤦‍♂️📉,False
"Do you have a favorite type of art or artist?",🖼️🎨🖌,False
"What's a habit you've developed that's changed your life for the better?",🔄🌟📈,True
"What's your favorite board game or card game?",🎴🎲🎮,False
"Which historical period would you most want to live in?",🏰⏳📜,True
"What's a spontaneous decision you've made that you're proud of?",🎉🔄🌟,True
"Do you prefer the city or the countryside? Why?",🌆🌄,True
"What's one of your favorite quotes or sayings?",💬📜🖋,True
"Is there a charity or cause you're passionate about?",❤️🌎🚑,True
"What's a movie or book that has left a profound impact on you?",🎬📖🌟,True
"How do you relax after a long day?",🛁🍷🛌,False
"Do you have a memorable story about a pet or animal encounter?",🐕🦜❤️,True
